FILM,YEAR,MONTH_USE,BOMGENRE,MPAA,ANIMATED_BIN,NO_USE_DUMPMONTH_BIN,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Stars,Fandango_Ratingvalue,RT_norm,RT_user_norm,Metacritic_norm,Metacritic_user_nom,IMDB_norm,RT_norm_round,RT_user_norm_round,Metacritic_norm_round,Metacritic_user_norm_round,IMDB_norm_round,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes,Fandango_Difference,MONTH_WRONG_NO_USE,MONTH_DIFF,BIN_ACTION_ADVENTURE,BIN_ACTION,BIN_ADVENTURE,BIN_ANIMATION,BIN_COMEDY,BIN_CRIME,BIN_DOCUMENTARY,BIN_DRAMA,BIN_FAMILY,BIN_FANTASY,BIN_FOREIGN,BIN_HORROR,BIN_MUSICAL,BIN_ROMANCE,BIN_SCIFI,BIN_THRILLER
The Second Best Exotic Marigold Hotel,2015,3,Comedy,PG,0,0,62,63,51,6.1,6.6,4,3.9,3.1,3.15,2.55,3.05,3.3,3,3,2.5,3,3.5,41,12940,1870,0.1,March,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strange Magic,2015,1,Animation,PG,1,1,17,50,25,5.3,5.7,3.5,3.4,0.85,2.5,1.25,2.65,2.85,1,2.5,1.5,2.5,3,41,3658,1117,0.1,January,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Gunman,2015,3,Thriller,R,0,0,17,34,39,4.3,5.8,3.5,3.4,0.85,1.7,1.95,2.15,2.9,1,1.5,2,2,3,49,16663,996,0.1,March,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hitman: Agent 47,2015,8,Action/Adventure,R,0,1,7,49,28,3.3,5.9,4,3.9,0.35,2.45,1.4,1.65,2.95,0.5,2.5,1.5,1.5,3,67,4260,917,0.1,August,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cake,2015,1,Drama,R,0,1,49,47,49,6.4,6.5,3.5,3.4,2.45,2.35,2.45,3.2,3.25,2.5,2.5,2.5,3,3.5,44,19627,482,0.1,January,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Vatican Tapes,2015,7,Horror,PG-13,0,0,13,21,37,5.4,4.6,3,2.9,0.65,1.05,1.85,2.7,2.3,0.5,1,2,2.5,2.5,5,952,210,0.1,July,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Little Chaos,2015,6,Drama,R,0,0,40,47,51,7,6.4,4,3.9,2,2.35,2.55,3.5,3.2,2,2.5,2.5,3.5,3,7,4778,83,0.1,June,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,2015,5,Foreign,R,0,0,67,69,58,4.6,7.1,4,3.9,3.35,3.45,2.9,2.3,3.55,3.5,3.5,3,2.5,3.5,5,17237,63,0.1,May,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Escobar: Paradise Lost,2015,6,Romance,R,0,0,52,52,56,6.9,6.6,4,3.9,2.6,2.6,2.8,3.45,3.3,2.5,2.5,3,3.5,3.5,7,7819,48,0.1,June,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Into the Woods,2014,12,Musical,PG,0,0,71,50,69,6.1,6,3.5,3.4,3.55,2.5,3.45,3.05,3,3.5,2.5,3.5,3,3,307,81679,13055,0.1,December,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
It Follows,2015,3,Horror,R,0,0,96,65,83,7.5,6.9,3,2.9,4.8,3.25,4.15,3.75,3.45,5,3.5,4,4,3.5,551,64656,2097,0.1,March,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Inherent Vice,2014,10,Crime,R,0,1,73,52,81,7.4,6.7,3,2.9,3.65,2.6,4.05,3.7,3.35,3.5,2.5,4,3.5,3.5,286,44711,1078,0.1,January,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A Most Violent Year,2014,11,Drama,R,0,1,90,69,79,7,7.1,3.5,3.4,4.5,3.45,3.95,3.5,3.55,4.5,3.5,4,3.5,3.5,133,32166,675,0.1,January,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
While We're Young,2015,4,Comedy,R,0,0,83,52,76,6.7,6.4,3,2.9,4.15,2.6,3.8,3.35,3.2,4,2.5,4,3.5,3,65,17647,449,0.1,April,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clouds of Sils Maria,2015,1,Drama,R,0,1,89,67,78,7.1,6.8,3.5,3.4,4.45,3.35,3.9,3.55,3.4,4.5,3.5,4,3.5,3.5,36,11392,162,0.1,August,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Testament of Youth,2015,6,Drama,PG-13,0,1,81,79,77,7.9,7.3,4,3.9,4.05,3.95,3.85,3.95,3.65,4,4,4,4,3.5,15,5495,127,0.1,January,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Infinitely Polar Bear,2015,6,Comedy,R,0,0,80,76,64,7.9,7.2,4,3.9,4,3.8,3.2,3.95,3.6,4,4,3,4,3.5,8,1062,124,0.1,June,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Phoenix,2015,7,,R,0,1,99,81,91,8,7.2,3.5,3.4,4.95,4.05,4.55,4,3.6,5,4,4.5,4,3.5,21,3687,70,0.1,September,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wolfpack,2015,6,Documentary,R,0,0,84,73,75,7,7.1,3.5,3.4,4.2,3.65,3.75,3.5,3.55,4,3.5,4,3.5,3.5,8,1488,66,0.1,July,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Stanford Prison Experiment,2015,7,Thriller,R,0,0,84,87,68,8.5,7.1,4,3.9,4.2,4.35,3.4,4.25,3.55,4,4.5,3.5,4.5,3.5,6,950,51,0.1,July,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tangerine,2015,7,Comedy,R,0,0,95,86,86,7.3,7.4,4,3.9,4.75,4.3,4.3,3.65,3.7,5,4.5,4.5,3.5,3.5,14,696,36,0.1,July,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Magic Mike XXL,2015,6,Comedy,R,0,0,62,64,60,5.4,6.3,4.5,4.4,3.1,3.2,3,2.7,3.15,3,3,3,2.5,3,52,11937,9363,0.1,July,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Home,2015,3,Animation,PG,1,0,45,65,55,7.3,6.7,4.5,4.4,2.25,3.25,2.75,3.65,3.35,2.5,3.5,3,3.5,3.5,177,41158,7705,0.1,March,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Wedding Ringer,2015,1,Comedy,R,0,1,27,66,35,3.3,6.7,4.5,4.4,1.35,3.3,1.75,1.65,3.35,1.5,3.5,2,1.5,3.5,126,37292,6506,0.1,January,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Woman in Gold,2015,4,Drama,PG-13,0,0,52,81,51,7.2,7.4,4.5,4.4,2.6,4.05,2.55,3.6,3.7,2.5,4,2.5,3.5,3.5,72,17957,2435,0.1,April,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Last Five Years,2014,10,Musical,PG-13,0,1,60,60,60,6.9,6,4.5,4.4,3,3,3,3.45,3,3,3,3,3.5,3,20,4110,99,0.1,February,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mission: Impossible – Rogue Nation,2015,7,Action,PG-13,0,0,92,90,75,8,7.8,4.5,4.4,4.6,4.5,3.75,4,3.9,4.5,4.5,4,4,4,362,82579,8357,0.1,July,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amy,2015,7,Documentary,R,0,0,97,91,85,8.8,8,4.5,4.4,4.85,4.55,4.25,4.4,4,5,4.5,4.5,4.5,4,60,5630,729,0.1,July,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jurassic World,2015,6,Action/Adventure,PG-13,0,0,71,81,59,7,7.3,4.5,4.5,3.55,4.05,2.95,3.5,3.65,3.5,4,3,3.5,3.5,1281,241807,34390,0,June,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minions,2015,7,Animation,PG,1,0,54,52,56,5.7,6.7,4,4,2.7,2.6,2.8,2.85,3.35,2.5,2.5,3,3,3.5,204,55895,14998,0,July,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Max,2015,6,Family,PG,0,0,35,73,47,5.9,7,4.5,4.5,1.75,3.65,2.35,2.95,3.5,2,3.5,2.5,3,3.5,15,5444,3412,0,June,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paul Blart: Mall Cop 2,2015,4,Comedy,PG,0,0,5,36,13,2.4,4.3,3.5,3.5,0.25,1.8,0.65,1.2,2.15,0.5,2,0.5,1,2,211,15004,3054,0,April,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Longest Ride,2015,4,Romance,PG-13,0,0,31,73,33,4.8,7.2,4.5,4.5,1.55,3.65,1.65,2.4,3.6,1.5,3.5,1.5,2.5,3.5,49,25214,2603,0,April,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Lazarus Effect,2015,2,Horror,PG-13,0,1,14,23,31,4.9,5.2,3,3,0.7,1.15,1.55,2.45,2.6,0.5,1,1.5,2.5,2.5,62,17691,1651,0,February,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Woman In Black 2: Angel of Death,2015,1,Horror,PG-13,0,1,22,25,42,4.4,4.9,3,3,1.1,1.25,2.1,2.2,2.45,1,1.5,2,2,2.5,55,14873,1333,0,January,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Danny Collins,2015,4,Comedy,R,0,0,77,75,58,7.1,7.1,4,4,3.85,3.75,2.9,3.55,3.55,4,4,3,3.5,3.5,33,11206,531,0,April,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spare Parts,2015,1,Family,PG-13,0,0,52,83,50,7.1,7.2,4.5,4.5,2.6,4.15,2.5,3.55,3.6,2.5,4,2.5,3.5,3.5,7,47377,450,0,June,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Serena,2015,2,Drama,R,0,1,18,25,36,5.3,5.4,3,3,0.9,1.25,1.8,2.65,2.7,1,1.5,2,2.5,2.5,19,12165,50,0,February,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Inside Out,2015,6,Animation,PG,1,0,98,90,94,8.9,8.6,4.5,4.5,4.9,4.5,4.7,4.45,4.3,5,4.5,4.5,4.5,4.5,807,96252,15749,0,June,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mr. Holmes,2015,4,Crime,PG,0,0,87,78,67,7.9,7.4,4,4,4.35,3.9,3.35,3.95,3.7,4.5,4,3.5,4,3.5,33,7367,1348,0,July,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,2015,1,Drama,R,0,0,97,82,83,7.5,7.2,3.5,3.5,4.85,4.1,4.15,3.75,3.6,5,4,4,4,3.5,60,24116,192,0,October,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Two Days, One Night ",2014,10,Foreign,PG-13,0,0,97,78,89,8.8,7.4,3.5,3.5,4.85,3.9,4.45,4.4,3.7,5,4,4.5,4.5,3.5,123,24345,118,0,May,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gett: The Trial of Viviane Amsalem,2015,1,Foreign,,0,0,100,81,90,7.3,7.8,3.5,3.5,5,4.05,4.5,3.65,3.9,5,4,4.5,3.5,4,19,1955,59,0,June,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Kumiko, The Treasure Hunter ",2015,3,Adventure,,0,1,87,63,68,6.4,6.7,3.5,3.5,4.35,3.15,3.4,3.2,3.35,4.5,3,3.5,3,3.5,19,5289,41,0,February,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
